codegeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021;somme_tauxpourmille;Gagnant
90019;Bretagne;0.0;0.0;0.0;0;0.0;LE PEN
90020;Buc;1.0;0.0;1.0;0;0.0;FILLON
90021;Charmois;1.0;0.0;1.0;0;0.0;LE PEN
90022;Châtenois-les-Forges;1.0;0.0;1.0;0;27.81826061330976;LE PEN
90023;Chaux;1.0;0.0;1.0;0;18.25517441018961;LE PEN
90024;Chavanatte;1.0;0.0;1.0;0;0.0;LE PEN
90025;Chavannes-les-Grands;1.0;0.0;1.0;0;0.0;LE PEN
90026;Chèvremont;1.0;1.0;2.0;0;16.20069482192234;LE PEN
90027;Courcelles;0.0;0.0;0.0;0;0.0;LE PEN
90028;Courtelevant;1.0;0.0;1.0;0;0.0;LE PEN
90029;Cravanche;1.0;0.0;1.0;0;16.423139853366333;MACRON
90030;Croix;1.0;0.0;1.0;0;0.0;LE PEN
90031;Cunelières;0.0;0.0;0.0;0;0.0;LE PEN
90032;Danjoutin;2.0;1.0;3.0;0;52.84390835237163;LE PEN
90033;Delle;2.0;0.0;2.0;0;65.80509817009664;LE PEN
90034;Denney;1.0;0.0;1.0;0;0.0;LE PEN
90035;Dorans;1.0;0.0;1.0;0;0.0;LE PEN
90036;Eguenigue;0.0;0.0;0.0;0;0.0;FILLON
90037;Éloie;1.0;0.0;1.0;0;0.0;LE PEN
90039;Essert;2.0;0.0;2.0;0;23.5426547093413;MACRON
90041;Étueffont;1.0;0.0;1.0;0;0.0;LE PEN
90042;Évette-Salbert;1.0;0.0;1.0;0;11.622276029055689;MACRON
90043;Faverois;1.0;0.0;1.0;0;0.0;LE PEN
90044;Felon;0.0;0.0;0.0;0;0.0;LE PEN
90045;Fêche-l'Église;1.0;0.0;1.0;0;0.0;LE PEN
